DATAFLOW,REF_AREA: Reference area,MEASURE: Measure,BUSINESS_DEVELOPMENT_STAGE: Business development stage,UNIT_MEASURE: Unit of measure,FREQ: Frequency of observation,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,UNIT_MULT: Unit multiplier,CURRENCY: Currency,DECIMALS: Decimals
OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),DEU: Germany,VC_INV_MKT: Venture capital investments (market statistics),START: Start-up and other early stage,"USD_EXC: US dollars, exchange rate converted",A: Annual,2009,460.5848560923891,A: Normal value,6: Millions,USD: US dollar,2: Two
OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),DEU: Germany,VC_INV_MKT: Venture capital investments (market statistics),START: Start-up and other early stage,"USD_EXC: US dollars, exchange rate converted",A: Annual,2010,466.87883164870124,A: Normal value,6: Millions,USD: US dollar,2: Two
OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),DEU: Germany,VC_INV_MKT: Venture capital investments (market statistics),START: Start-up and other early stage,"USD_EXC: US dollars, exchange rate converted",A: Annual,2011,519.245577897392,A: Normal value,6: Millions,USD: US dollar,2: Two
OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),DEU: Germany,VC_INV_MKT: Venture capital investments (market statistics),START: Start-up and other early stage,"USD_EXC: US dollars, exchange rate converted",A: Annual,2012,422.35680276209166,A: Normal value,6: Millions,USD: US dollar,2: Two
OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),DEU: Germany,VC_INV_MKT: Venture capital investments (market statistics),START: Start-up and other early stage,"USD_EXC: US dollars, exchange rate converted",A: Annual,2013,488.3893910904801,A: Normal value,6: Millions,USD: US dollar,2: Two
OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),DEU: Germany,VC_INV_MKT: Venture capital investments (market statistics),START: Start-up and other early stage,"USD_EXC: US dollars, exchange rate converted",A: Annual,2014,517.6897073935028,A: Normal value,6: Millions,USD: US dollar,2: Two
OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),DEU: Germany,VC_INV_MKT: Venture capital investments (market statistics),START: Start-up and other early stage,"USD_EXC: US dollars, exchange rate converted",A: Annual,2015,497.7524245659841,A: Normal value,6: Millions,USD: US dollar,2: Two
OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),DEU: Germany,VC_INV_MKT: Venture capital investments (market statistics),START: Start-up and other early stage,"USD_EXC: US dollars, exchange rate converted",A: Annual,2016,597.263478947184,A: Normal value,6: Millions,USD: US dollar,2: Two
OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),DEU: Germany,VC_INV_MKT: Venture capital investments (market statistics),START: Start-up and other early stage,"USD_EXC: US dollars, exchange rate converted",A: Annual,2017,805.606871301029,A: Normal value,6: Millions,USD: US dollar,2: Two
OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),DEU: Germany,VC_INV_MKT: Venture capital investments (market statistics),START: Start-up and other early stage,"USD_EXC: US dollars, exchange rate converted",A: Annual,2018,1168.1512245637755,A: Normal value,6: Millions,USD: US dollar,2: Two
OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),DEU: Germany,VC_INV_MKT: Venture capital investments (market statistics),START: Start-up and other early stage,"USD_EXC: US dollars, exchange rate converted",A: Annual,2019,1217.4043263284216,A: Normal value,6: Millions,USD: US dollar,2: Two
OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),DEU: Germany,VC_INV_MKT: Venture capital investments (market statistics),START: Start-up and other early stage,"USD_EXC: US dollars, exchange rate converted",A: Annual,2020,1453.4687631756956,A: Normal value,6: Millions,USD: US dollar,2: Two
